Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Save Me Dear	Ghostface Killah		The Pretty Toney Album						Rap	5316368	182			7		2004	3/21/20, 2:37 PM	3/21/20, 2:14 PM	232	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/The Pretty Toney Album/07 - Ghostface Killah - Save Me Dear.mp3
G'z & Hustlaz (feat. Rave)	NYGz		Welcome 2 G-Dom						Rap	2915288	183			7		2007	3/21/20, 2:39 PM	3/21/20, 2:14 PM	126	44100		MPEG audio file		-> C4 2 Ya DooR <-						Macintosh HD/Users/mck/Dropbox/Other Music/Welcome 2 G-Dom/7 - NYGz - G'z & Hustlaz (feat. Rave).mp3
Conant Gardens	Slum Village		Fantastic, Vol. 2						Rap	5817345	183			2		2000	3/21/20, 2:40 PM	3/21/20, 2:14 PM	252	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Fantastic, Vol. 2/2 - Slum Village - Conant Gardens.mp3
Woodrow The Basehead	Ghostface Killah		Supreme Clientele						Rap	3724193	184			10		2000	11/18/09, 12:27 PM	3/21/20, 2:14 PM	161	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Supreme Clientele/10 - Ghostface Killah - Woodrow The Basehead.mp3
The Journey Pt. 1	Torae		Daily Conversation						Rap	7518356	186			4	15		3/21/20, 2:41 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Daily Conversation/4 - Torae - The Journey Pt. 1.mp3
Shakedown	Torae	9th Wonder	For The Record						Rap	6125257	186			5		2011	3/21/20, 2:41 PM	3/21/20, 2:14 PM	256	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/For The Record/05. Shakedown.mp3
E.T. (Extraterrestrial)	Outkast		ATLiens						Rap	7553887	186			13		1996	11/20/10, 10:42 AM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/ATLiens/13 - Outkast - E.T. (Extraterrestrial).mp3
Metal Lungies (Feat. Sheek Louch & Styles P.)	Ghostface Killah		The Pretty Toney Album						Rap	5376079	187			5		2004	3/21/20, 2:37 PM	3/21/20, 2:14 PM	229	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/The Pretty Toney Album/05 - Ghostface Killah - Metal Lungies (Feat. Sheek Louch & Styles P.).mp3
What Kinda Life (feat. Raw)	NYGz		Welcome 2 G-Dom						Rap	3989304	187			9		2007	3/21/20, 2:39 PM	3/21/20, 2:14 PM	170	44100		MPEG audio file		-> C4 2 Ya DooR <-						Macintosh HD/Users/mck/Dropbox/Other Music/Welcome 2 G-Dom/9 - NYGz - What Kinda Life (feat. Raw).mp3
When I Walk Away Ft. Alchemist (Produced By The Alchemist)	Big Twins		The Project Kid						Rap	3165225	188			15	17	2009	8/20/09, 12:11 AM	3/21/20, 2:14 PM	134	44100		MPEG audio file		Enjoy & Go Support The Artist.......pz1						Macintosh HD/Users/mck/Dropbox/Other Music/The Project Kid/15 - Big Twins - When I Walk Away Ft. Alchemist (Produced By The Alchemist).mp3
Bacon And Cheese Ft. Prodigy (Produced By Sid Roams)	Big Twins		The Project Kid						Rap	4681131	188			8	17	2009	8/20/09, 12:11 AM	3/21/20, 2:14 PM	198	44100		MPEG audio file		Enjoy & Go Support The Artist.......pz1						Macintosh HD/Users/mck/Dropbox/Other Music/The Project Kid/8 - Big Twins - Bacon And Cheese Ft. Prodigy (Produced By Sid Roams).mp3
Bust (Feat. Killer Mike)	OutKast		Speakerboxxx, The Love Below (Disc 1)						Rap	5096114	188			7	19	2003	9/6/09, 12:01 PM	3/21/20, 2:14 PM	215	44100		MPEG audio file		ÜberStandard - UberNet.org						Macintosh HD/Users/mck/Dropbox/Other Music/Speakerboxxx, The Love Below (Disc 1)/07 - OutKast - Bust (Feat. Killer Mike).mp3
Millennium	Outkast		ATLiens						Rap	7643735	189			12		1996	11/20/10, 10:42 AM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/ATLiens/12 - Outkast - Millennium.mp3
Bow Down (feat. Blaq Poet & Rave)	NYGz		Welcome 2 G-Dom						Rap	3398894	189			11		2007	3/21/20, 2:39 PM	3/21/20, 2:14 PM	143	44100		MPEG audio file		-> C4 2 Ya DooR <-						Macintosh HD/Users/mck/Dropbox/Other Music/Welcome 2 G-Dom/11 - NYGz - Bow Down (feat. Blaq Poet & Rave).mp3
2U4U	Slum Village		Fantastic, Vol. 2						Rap	6051336	189			17		2000	3/21/20, 2:40 PM	3/21/20, 2:14 PM	255	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Fantastic, Vol. 2/17 - Slum Village - 2U4U.mp3
Keep It On (This Beat)	Slum Village		Fantastic Vol. 1						Rap	5589873	190			2		1996	3/21/20, 2:40 PM	3/21/20, 2:14 PM	234	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Fantastic Vol. 1/02 - Slum Village - Keep It On (This Beat).mp3
